Step,u_k_x,u_k_y,u_k_theta,x,y,theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
71,1.2312,0.5796,0.1290,-4.6064,3.6260,2.8242,-1.5083,-0.2939,-1.5083,2.1715,-1.0539,-0.2212,-0.1628,0.0375,-0.1306,0.0953
72,0.8049,0.7899,0.0245,-5.8123,3.1441,2.6593,-1.2059,-0.4819,-1.2059,2.1739,-1.5044,-0.3388,-0.3209,-0.0628,0.1113,-0.1352
73,0.0103,0.2870,0.0922,-5.8944,2.5485,2.9030,-0.0821,-0.5956,-0.0821,3.3901,-1.6452,0.0283,0.2196,0.0022,0.2007,0.2083
74,0.4368,0.0050,0.1823,-6.2145,2.6536,3.1087,-0.3201,0.1051,-0.3201,2.9296,-2.0543,0.0790,-0.3791,0.0648,-0.4708,0.0642
75,0.4920,0.2324,0.1221,-7.0206,2.9897,-3.0985,-0.8061,0.3361,-0.8061,3.2482,4.0312,0.0960,0.1718,-0.0633,0.1598,-0.0215
76,1.5853,0.6076,0.0534,-8.9549,2.3799,2.9910,-1.9343,-0.6098,-1.9343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,1.8240,0.7320,0.1741,-11.4143,1.8702,-3.1051,-2.4593,-0.5097,-2.4593,3.7593,5.3489,-0.3236,-0.2639,-0.2189,-0.2161,-0.1349
78,0.3444,1.8958,0.0616,-12.2938,-0.2726,-3.1382,-0.8795,-2.1428,-0.8795,3.5340,0.3515,0.1587,-0.2491,0.0061,-0.1017,0.0670
79,0.5735,0.0373,0.0922,-12.6001,0.3984,3.0938,-0.3063,0.6710,-0.3063,3.7390,-5.4820,0.0355,0.2579,-0.0543,-0.7377,-0.0744
80,1.2125,1.9482,0.0934,-14.4418,-2.0168,3.0422,-1.8417,-2.4153,-1.8417,1.1048,-0.0075,-0.0787,-0.4635,0.1087,-0.0837,0.0044
81,0.3645,0.6833,0.0780,-14.6540,-2.4413,3.1403,-0.2122,-0.4245,-0.2122,0.7585,-0.3746,-0.1356,0.2323,-0.0070,0.2092,-0.1586
82,0.5707,1.7909,0.0600,-14.6132,-4.4009,-3.0095,0.0408,-1.9596,0.0408,2.4816,4.8619,-0.4038,-0.2845,-0.0824,-0.4973,0.0008
83,1.2071,0.0755,0.1314,-15.7208,-4.6537,-2.9117,-1.1076,-0.2527,-1.1076,2.3546,4.4352,0.8129,-0.3045,0.0499,-0.3052,0.0030
84,1.0528,0.7328,0.0851,-17.3466,-5.4403,-2.7624,-1.6258,-0.7866,-1.6258,4.1037,3.8259,-0.2639,-0.0343,-0.0808,0.0388,-0.0326
85,0.0004,1.8497,0.0905,-16.8427,-7.0067,-2.6356,0.5039,-1.5664,0.5039,4.7238,-0.0529,-0.3552,0.3373,0.0488,0.3221,-0.0145
86,0.7417,0.4387,0.0489,-17.4515,-7.9936,-2.5466,-0.6088,-0.9869,-0.6088,4.8965,0.3307,0.2738,0.0187,0.0675,-0.4184,-0.2197
87,0.1265,0.3239,0.0021,-17.1292,-8.6669,-2.5571,0.3223,-0.6733,0.3223,4.5477,0.4515,0.4680,-0.2280,0.0440,0.2058,0.0308
88,0.7898,0.5317,0.0984,-16.8964,-9.9192,-2.3900,0.2327,-1.2523,0.2327,3.9285,-0.0533,-0.1257,-0.2880,-0.0852,0.1439,0.0742
89,0.6624,0.0151,0.0606,-17.1437,-10.5862,-2.3504,-0.2473,-0.6670,-0.2473,3.0663,-0.2685,0.1214,-0.3832,0.1926,0.0523,0.0852
90,1.1736,0.4263,0.1844,-18.0943,-11.9369,-2.2525,-0.9506,-1.3507,-0.9506,1.9328,-0.7619,0.1391,0.0083,-0.0345,0.1810,-0.0973
91,1.2979,1.7319,0.0880,-18.0924,-13.9713,-2.1766,0.0019,-2.0344,0.0019,4.7970,0.4734,0.0356,0.1418,-0.0071,-0.3465,-0.0031
92,1.9297,0.8518,0.1545,-18.4821,-15.8486,-1.8638,-0.3898,-1.8773,-0.3898,2.6168,0.2143,-0.9474,-0.6295,0.2429,-0.1572,0.0536
93,0.1361,0.2743,0.1501,-18.1096,-16.0412,-1.9093,0.3726,-0.1926,0.3726,2.7939,0.3831,-0.1600,-0.1852,0.0248,0.0170,-0.0434
94,0.8029,0.5586,0.0322,-18.1147,-17.0181,-2.1262,-0.0052,-0.9769,-0.0052,1.6550,0.2299,-0.2855,0.0254,0.0760,-0.2973,0.0851
95,1.1212,0.6019,0.0634,-18.5806,-18.7173,-2.0596,-0.4659,-1.6992,-0.4659,0.3279,3.2553,-0.2458,-0.5023,0.0167,0.2567,-0.0774
96,1.1116,0.5827,0.0171,-18.1390,-20.2556,-1.9102,0.4416,-1.5383,0.4416,1.9333,3.5332,0.3365,-0.0137,0.0040,-0.4173,-0.0600
97,1.2676,1.1938,0.0481,-18.0040,-21.6645,-2.1056,0.1351,-1.4089,0.1351,3.1567,3.8391,-0.4642,-0.3890,0.0825,-0.3544,-0.0903
