Step,u_k_x,u_k_y,u_k_theta,x,y,theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
120,1.9387,0.2948,0.1974,11.4409,3.1377,2.3720,-1.2432,1.6293,-1.2432,3.0378,-2.0310,-0.3124,0.2181,-0.1671,-0.4534,0.0823
121,0.3959,1.2573,0.1866,10.2497,2.6166,2.6080,-1.1912,-0.5211,-1.1912,4.3418,-2.2470,-0.3265,0.1027,-0.1797,0.0767,-0.0636
122,1.2377,1.3547,0.0486,8.4544,2.1583,2.6664,-1.7953,-0.4584,-1.7953,3.0530,-4.0179,-0.2195,0.1852,-0.1009,-0.0786,0.0599
123,1.0894,1.4171,0.0829,6.7849,1.4671,2.7550,-1.6695,-0.6912,-1.6695,4.5082,-4.0490,0.0263,0.4172,0.0195,0.1421,0.1040
124,0.5080,0.2591,0.0889,6.3235,1.4464,2.7831,-0.4615,-0.0207,-0.4615,4.5700,-3.9733,0.4821,-0.0143,-0.1443,-0.1472,-0.0864
125,1.3324,1.0814,0.1658,4.7038,0.8529,3.0188,-1.6196,-0.5935,-1.6196,5.0106,-3.8034,0.2956,0.0738,0.1359,-0.3297,0.0108
126,0.7711,1.2594,0.0745,3.7932,-0.3013,3.0144,-0.9106,-1.1543,-0.9106,4.9989,-3.5739,-0.3778,0.1504,0.0874,0.1985,-0.0962
127,0.2386,0.5311,0.0059,3.5513,-0.8197,3.1128,-0.2420,-0.5183,-0.2420,4.9636,-3.6179,-0.1074,0.0242,0.0082,-0.2135,-0.0525
128,0.1371,0.5290,0.1774,3.4540,-1.4017,-3.0081,-0.0973,-0.5820,-0.0973,4.7175,2.7716,-0.4153,-0.2995,-0.0146,0.6940,0.1842
129,1.8446,0.6809,0.0576,1.7340,-2.3633,-2.9960,-1.7200,-0.9616,-1.7200,4.8780,1.6798,-0.0002,0.1214,-0.0855,-0.4665,-0.2475
130,0.4352,0.7870,0.0394,1.4878,-3.1689,-3.0546,-0.2462,-0.8056,-0.2462,4.2872,1.8022,-0.3272,0.5717,0.0334,0.1376,0.0031
131,1.2164,0.2417,0.0005,0.3414,-3.4768,-3.0284,-1.1465,-0.3079,-1.1465,4.4431,2.0373,-0.6445,0.3471,-0.0173,-0.6976,0.1450
132,0.4150,0.9449,0.1099,0.1038,-4.4014,-2.9364,-0.2375,-0.9245,-0.2375,3.8744,2.0973,-0.0050,0.0627,0.0227,0.1612,0.2031
133,1.2548,0.2280,0.0216,-1.1423,-4.9098,-2.9422,-1.2461,-0.5084,-1.2461,4.6939,2.3534,-0.2314,0.4757,0.0876,0.2670,-0.1055
134,1.4299,0.3371,0.1422,-2.4002,-5.5424,-2.8339,-1.2579,-0.6326,-1.2579,4.7726,1.7593,0.0025,-0.2848,-0.0782,0.3301,-0.0588
135,0.1855,0.3824,0.1079,-2.4007,-6.0193,-2.7826,-0.0005,-0.4769,-0.0005,4.2312,1.7832,-0.1773,0.1204,-0.0517,0.2197,-0.0402
136,1.9000,0.1192,0.0095,-4.0994,-6.7801,-2.8652,-1.6987,-0.7608,-1.6987,4.8555,2.2161,-0.3037,-0.0869,-0.1342,-0.1069,0.2243
137,1.5550,0.8313,0.1510,-5.2941,-7.9355,-2.7380,-1.1947,-1.1553,-1.1947,3.1587,1.8664,0.1552,-1.0068,0.0672,-0.1076,-0.0417
138,0.8220,0.2882,0.0443,-5.9095,-8.6172,-2.7868,-0.6155,-0.6817,-0.6155,3.2051,2.1278,0.2524,-0.5738,-0.1205,0.1182,0.0126
139,0.2233,0.8127,0.1992,-5.9279,-9.4176,-2.5794,-0.0183,-0.8004,-0.0183,2.8372,2.2310,-0.3047,-0.1091,0.1792,-0.4278,0.1197
140,1.8001,1.5230,0.1242,-6.6755,-11.7507,-2.4589,-0.7477,-2.3331,-0.7477,3.8859,-0.1158,-0.3769,-0.2201,0.1431,-0.0461,0.1534
141,0.6546,0.3359,0.0086,-7.0348,-12.4473,-2.4320,-0.3592,-0.6966,-0.3592,3.1001,-0.2039,-0.1501,0.9377,0.1793,0.4368,-0.1753
142,0.0374,0.5186,0.1363,-6.6789,-12.7971,-2.3362,0.3558,-0.3498,0.3558,3.3630,-0.3557,0.0098,0.0054,-0.0159,-0.4302,-0.1573
143,0.5762,1.5160,0.0788,-5.9296,-14.2690,-2.2470,0.7494,-1.4719,0.7494,3.8896,5.3855,-0.2780,0.0544,-0.0090,-0.3301,-0.0281
144,1.5450,0.9815,0.1032,-6.1051,-16.2115,-2.1820,-0.1755,-1.9425,-0.1755,4.1565,4.7057,-0.3429,0.1064,0.1082,0.4064,-0.0295
145,1.8611,1.4059,0.0749,-6.0655,-18.6260,-2.0685,0.0396,-2.4145,0.0396,4.1408,3.9313,0.0368,0.1243,0.0486,0.5409,-0.0692
146,0.8730,0.6804,0.1686,-5.8675,-19.6164,-1.9886,0.1980,-0.9904,0.1980,4.4019,0.6853,0.2009,0.5756,0.0438,0.2876,0.0372
147,0.3220,1.9400,0.1154,-4.2161,-20.7054,-1.8973,1.6514,-1.0890,1.6514,3.0584,0.2140,-0.2992,0.6179,0.1405,0.0018,-0.1581
148,1.3604,0.6058,0.1388,-4.1581,-22.1796,-1.8264,0.0579,-1.4742,0.0579,1.7029,0.1260,0.3015,0.1200,0.0522,0.1718,0.0068
149,0.6870,0.9181,0.1040,-3.5291,-23.1336,-1.6229,0.6291,-0.9540,0.6291,1.2706,-0.8804,-0.1835,-0.1469,0.0703,-0.2955,0.1822
150,1.3374,1.9964,0.0719,-1.6579,-24.5970,-1.6192,1.8712,-1.4634,1.8712,2.9836,4.4295,0.4531,0.1071,-0.0544,0.3119,-0.0682
151,1.3166,0.7988,0.0235,-0.8385,-25.8714,-1.5922,0.8194,-1.2744,0.8194,4.2270,4.1934,0.5816,0.1020,-0.0480,0.2648,0.0377
152,1.7678,1.9609,0.1717,1.1683,-27.6107,-1.4363,2.0068,-1.7393,2.0068,3.2372,-0.1766,-0.0248,-0.1679,0.0431,0.4785,-0.0761
