Step,u_k_x,u_k_y,u_k_theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
139,0.5758,-0.5351,-0.0113,0.8229,0.1244,0.0367,3.4607,-4.2116,-0.3322,0.0275,0.0811,-0.6283,-0.0491
140,0.6367,-0.4517,0.0808,0.5564,0.4601,0.0798,3.5595,-4.3316,-0.2946,-0.3660,0.1451,0.2707,-0.1934
141,0.5501,-0.5080,-0.0408,0.8178,0.7467,0.0408,4.4161,-4.4831,0.8218,0.3394,-0.0230,0.2768,-0.1248
142,0.3484,-0.8765,0.0332,1.1743,0.2695,0.1094,4.3562,-2.6128,0.3029,0.2711,0.0879,0.0537,0.1092
143,-0.0541,0.9582,0.0096,-1.3813,0.2234,0.0536,4.3602,-4.2656,-0.2772,-0.3010,-0.0439,-0.0343,-0.0419
144,-0.6859,0.5955,0.0178,-0.6660,-0.5223,-0.1121,3.5041,-4.2250,-0.3275,0.0370,-0.0817,-0.3344,0.0655
145,-0.6342,0.2514,0.0373,-0.2145,-0.5010,0.0534,3.5393,-4.2048,0.1500,-0.5757,-0.0688,-0.1436,0.0795
146,0.3604,0.8327,0.0766,-0.0989,0.5216,0.1231,3.6145,-4.5062,-0.1545,0.3588,-0.0045,0.0847,0.0469
147,0.5682,-0.3518,0.0727,0.3903,0.8805,0.0641,4.1636,-4.2109,0.1264,-0.0887,-0.0196,-0.3967,-0.0735
148,-0.8633,0.1729,-0.0158,0.0057,-1.1478,-0.1408,3.9851,-4.4048,-0.6851,0.0296,-0.0238,-0.0974,-0.0567
149,-0.3439,-0.2967,0.0629,0.1546,-0.6989,0.0402,3.6802,-4.6598,-0.1458,-0.3094,-0.1299,-0.0834,0.1135
150,0.0395,0.8762,0.0653,-1.3782,0.7030,-0.1211,1.9247,-4.1075,-0.0982,-0.0496,0.0252,-0.6983,-0.0222
151,0.4778,-0.1020,0.0246,0.2742,0.5601,0.1620,3.5651,-4.1292,-0.1751,0.1089,-0.0598,-0.3634,-0.1782
152,0.2891,0.7060,-0.0786,-0.4885,-0.4043,-0.1265,2.1010,-4.1679,0.2500,0.0997,-0.1224,0.2878,0.1353
153,-0.2808,0.7670,0.0761,-1.0111,-0.1798,0.3169,2.0616,-3.9218,0.1590,0.4363,-0.1038,0.0593,-0.0750
154,0.7410,-0.4458,-0.0814,-0.0249,0.3686,-0.0143,2.0600,-4.0234,-0.1533,-0.0083,-0.1621,-0.0628,0.1086
155,-0.4311,-0.9160,0.0585,0.9926,-0.1831,0.1463,2.2832,-4.2443,-0.5633,-0.6035,-0.1440,0.0662,0.1276
156,-0.3744,-0.8146,0.0079,1.2586,-0.0860,0.1653,3.0828,-5.0149,0.1917,-0.1927,0.1312,0.0929,-0.0966
157,-0.4102,0.2521,0.0361,0.0605,-0.3016,0.0475,3.6209,-4.8877,0.1639,-0.3397,-0.0322,-0.1777,-0.0768
158,0.7057,-0.4578,-0.0230,0.7226,0.6279,0.0015,4.8314,-4.9869,0.0748,-0.1582,-0.0908,-0.2037,-0.0218
159,0.1025,0.7119,0.0384,-0.5680,0.1568,-0.0186,3.3989,-4.7688,0.0519,-0.7619,0.0345,-0.1461,-0.0978
160,0.1294,-0.5752,-0.0517,0.6234,0.6201,-0.0576,4.5648,-4.6195,-0.3031,-0.2422,0.0499,0.0269,-0.0824
161,0.4266,-0.3805,-0.0756,0.3154,0.4121,-0.0467,4.5960,-1.0516,-0.1274,-0.2827,-0.1748,0.0065,-0.0377
162,0.2616,0.8299,0.0318,-1.0411,0.2624,0.0174,5.0641,-4.3569,-0.0387,-0.1455,0.0181,0.0112,-0.0186
163,-0.3619,0.8783,-0.0885,-0.1434,-0.7740,0.0104,4.0880,-4.5626,0.4770,-0.2636,0.1725,0.1987,-0.1314
164,0.2663,-0.9173,-0.0877,0.8453,0.3185,-0.1331,4.5433,-4.6144,-0.1005,-0.0681,-0.0032,0.0250,0.0712
165,-0.4041,-0.7875,-0.0742,0.4865,0.5473,0.0763,3.8544,-0.8246,0.2204,0.1896,0.0939,0.2747,-0.0121
166,-0.6801,-0.9450,0.0458,1.4972,0.3314,0.1364,4.1214,-1.2092,-0.2691,-0.0835,-0.0322,0.0196,0.0587
167,-0.9371,0.8454,-0.0926,-0.1444,-1.2709,0.1242,4.5338,-0.8444,0.0835,0.5371,-0.0025,-0.0352,0.1305
168,0.3304,-0.8396,-0.0027,0.6946,1.4449,-0.0089,4.1921,-1.2048,0.1893,0.8453,0.0425,-0.0267,0.1261
169,-0.5166,0.5148,-0.0222,-0.1853,-0.4655,-0.1190,4.5031,-0.8886,-0.4391,0.1287,0.0767,0.2813,-0.0107
